;"winsor-newton-lab.txt" color dictionary
;Copyright 2010 Aubrey Jaffer
;
;Permission to copy this dictionary, to modify it, to redistribute it,
;to distribute modified versions, and to use it for any purpose is
;granted, subject to the following restrictions and understandings.
;
;1.  Any copy made of this dictionary must include this copyright notice
;in full.
;
;2.  I have made no warranty or representation that this data is
;error-free, and I am under no obligation to provide any services, by
;way of maintenance, update, or otherwise.
;
;3.  In conjunction with products arising from the use of this material,
;there shall be no use of my name in any advertising, promotional, or
;sales literature without prior written consent in each case.

XCMS_COLORDB_START 0.1
mauve light			CIELab:48.00/8.50/-31.52
MauveLight			CIELab:48.00/8.50/-31.52
mauve medium			CIELab:34.12/12.61/-39.86
MauveMedium			CIELab:34.12/12.61/-39.86
mauve dark			CIELab:27.90/14.26/-41.59
MauveDark			CIELab:27.90/14.26/-41.59
ultramarine violet light	CIELab:68.96/5.91/-10.61
UltramarineVioletLight		CIELab:68.96/5.91/-10.61
ultramarine violet medium	CIELab:51.90/10.86/-25.00
UltramarineVioletMedium		CIELab:51.90/10.86/-25.00
ultramarine violet dark		CIELab:44.79/12.74/-29.46
UltramarineVioletDark		CIELab:44.79/12.74/-29.46
violet light			CIELab:39.94/25.63/-45.49
VioletLight			CIELab:39.94/25.63/-45.49
violet medium			CIELab:25.34/27.55/-51.02
VioletMedium			CIELab:25.34/27.55/-51.02
violet dark			CIELab:23.16/26.08/-50.11
VioletDark			CIELab:23.16/26.08/-50.11
perm mauve light		CIELab:72.49/8.63/-0.07
PermMauveLight			CIELab:72.49/8.63/-0.07
perm mauve medium		CIELab:42.88/21.59/-25.02
PermMauveMedium			CIELab:42.88/21.59/-25.02
perm mauve dark			CIELab:24.06/28.88/-35.38
PermMauveDark			CIELab:24.06/28.88/-35.38
co violet deep light		CIELab:55.55/9.39/-25.05
CoVioletDeepLight		CIELab:55.55/9.39/-25.05
co violet deep medium		CIELab:39.26/16.76/-35.28
CoVioletDeepMedium		CIELab:39.26/16.76/-35.28
co violet deep dark		CIELab:30.54/21.81/-39.30
CoVioletDeepDark		CIELab:30.54/21.81/-39.30
co violet light			CIELab:61.76/15.02/-8.06
CoVioletLight			CIELab:61.76/15.02/-8.06
co violet medium		CIELab:51.29/20.11/-15.43
CoVioletMedium			CIELab:51.29/20.11/-15.43
co violet dark			CIELab:28.66/30.98/-28.33
CoVioletDark			CIELab:28.66/30.98/-28.33
carmine light			CIELab:36.76/46.70/21.45
CarmineLight			CIELab:36.76/46.70/21.45
carmine medium			CIELab:26.05/44.73/34.24
CarmineMedium			CIELab:26.05/44.73/34.24
carmine dark			CIELab:20.97/41.22/32.41
CarmineDark			CIELab:20.97/41.22/32.41
perm crimson light		CIELab:56.47/36.90/10.35
PermCrimsonLight		CIELab:56.47/36.90/10.35
perm crimson medium		CIELab:40.70/48.32/23.63
PermCrimsonMedium		CIELab:40.70/48.32/23.63
perm crimson dark		CIELab:36.09/49.37/30.32
PermCrimsonDark			CIELab:36.09/49.37/30.32
crimson light			CIELab:64.77/28.70/14.09
CrimsonLight			CIELab:64.77/28.70/14.09
crimson medium			CIELab:46.77/41.22/18.31
CrimsonMedium			CIELab:46.77/41.22/18.31
crimson dark			CIELab:27.82/43.79/33.24
CrimsonDark			CIELab:27.82/43.79/33.24
rose madder deep light		CIELab:81.07/12.97/16.33
RoseMadderDeepLight		CIELab:81.07/12.97/16.33
rose madder deep medium		CIELab:73.16/22.75/15.29
RoseMadderDeepMedium		CIELab:73.16/22.75/15.29
rose madder deep dark		CIELab:69.61/26.82/15.13
RoseMadderDeepDark		CIELab:69.61/26.82/15.13
rose madder light		CIELab:81.11/15.92/12.66
RoseMadderLight			CIELab:81.11/15.92/12.66
rose madder medium		CIELab:69.04/30.95/15.13
RoseMadderMedium		CIELab:69.04/30.95/15.13
rose madder dark		CIELab:59.66/39.69/19.08
RoseMadderDark			CIELab:59.66/39.69/19.08
rose dore light			CIELab:88.00/5.21/17.75
RoseDoreLight			CIELab:88.00/5.21/17.75
rose dore medium		CIELab:84.09/11.54/19.93
RoseDoreMedium			CIELab:84.09/11.54/19.93
rose dore dark			CIELab:81.53/15.64/21.55
RoseDoreDark			CIELab:81.53/15.64/21.55
perm rose light			CIELab:53.81/51.89/6.03
PermRoseLight			CIELab:53.81/51.89/6.03
perm rose medium		CIELab:47.98/53.35/15.84
PermRoseMedium			CIELab:47.98/53.35/15.84
perm rose dark			CIELab:46.02/52.76/20.29
PermRoseDark			CIELab:46.02/52.76/20.29
cd red deep light		CIELab:47.25/33.41/25.53
CdRedDeepLight			CIELab:47.25/33.41/25.53
cd red deep medium		CIELab:33.10/43.43/36.29
CdRedDeepMedium			CIELab:33.10/43.43/36.29
cd red deep dark		CIELab:30.71/42.47/36.52
CdRedDeepDark			CIELab:30.71/42.47/36.52
red deep light			CIELab:61.05/41.42/36.10
RedDeepLight			CIELab:61.05/41.42/36.10
red deep medium			CIELab:51.24/49.31/47.72
RedDeepMedium			CIELab:51.24/49.31/47.72
red deep dark			CIELab:47.30/50.65/50.43
RedDeepDark			CIELab:47.30/50.65/50.43
bright red light		CIELab:62.48/37.82/15.46
BrightRedLight			CIELab:62.48/37.82/15.46
bright red medium		CIELab:48.74/51.27/32.88
BrightRedMedium			CIELab:48.74/51.27/32.88
bright red dark			CIELab:42.23/51.66/48.88
BrightRedDark			CIELab:42.23/51.66/48.88
vermilion light			CIELab:76.34/19.04/26.20
VermilionLight			CIELab:76.34/19.04/26.20
vermilion medium		CIELab:54.51/42.88/44.04
VermilionMedium			CIELab:54.51/42.88/44.04
vermilion dark			CIELab:50.16/45.82/46.00
VermilionDark			CIELab:50.16/45.82/46.00
cd red light			CIELab:73.97/22.10/32.35
CdRedLight			CIELab:73.97/22.10/32.35
cd red medium			CIELab:58.00/40.83/46.84
CdRedMedium			CIELab:58.00/40.83/46.84
cd red dark			CIELab:48.90/49.92/60.33
CdRedDark			CIELab:48.90/49.92/60.33
red light			CIELab:70.12/34.50/28.56
RedLight			CIELab:70.12/34.50/28.56
red medium			CIELab:54.04/50.64/58.57
RedMedium			CIELab:54.04/50.64/58.57
